index,번역
0.0,3 out of 10: Season Two
1.0,5th pre-order for 3/12 PS5.
2.0,33 Rounds
3.0,3DMark
4.0,"7,62 High Calibre"
5.0,8BitBoy
6.0,8bitdo v3 Arcade Stick.
7.0,Random game box.
8.0,Game. t4 pro game pad.
9.0,Game Pass Ultimate 1-month subscription. New subscribers.
10.0,1-month subscription for Game Pass PC.
11.0,Chisel Xbox XBOX SERIES X Xbox Wireless Controller 4th Generation.
12.0,11 types of Nintendo games.
13.0,"The Nintendo Light User Kit Case is 6,400 won. Unpaid 7."
14.0,Nintendo Ring Fit Adventure.
15.0,Nintendo Ring Fit.
16.0,Nintendo Switch Game Summer Sale.
17.0,Nintendo Switch Neon + Title 1.
18.0,Nintendo Switch Neon Red/Blue + Animal Crossing.
19.0,Nintendo Switch Animal Crossing Edition.
20.0,Nintendo Switch Animal Crossing Edition. Wow member.
21.0,Nintendo Switch Animal Crossing Edition.
22.0,Nintendo Switching Fit Game Set Edition Body
23.0,Nintendo Switch Mario Red Blue + Switch Mario 3D Collection Set.
24.0,Nintendo Switch body.
25.0,Nintendo Switch body neon.
26.0,Nintendo Switch's popular soft tag 1 option: Gather up. A forest of animals
27.0,Nintendo Switch+Soft Tag 1.
28.0,Nintendo SWITCH Ring Fit Adventure.
29.0,Nintendo SWITCH Ring Fit Adventure Korean version.
30.0,Korean version of Nintendo Switching Fit Adventure.
31.0,Nintendo Switch Hades.
32.0,"Dual shock 4 is 4,9800 won."
33.0,Dragon Quest XIS: Finding the past time
34.0,Dragon Ball Game Series.
35.0,Up to 85% discount on Dragon Ball game.
36.0,Dragon Ball Fighters.
37.0,Dragon Ball Z. Carrot.
38.0,"Dragon Ball Z, Kakao Lot. The last DLC release discount."
39.0,Pre-reservation for Diablo 2 Leisure.
40.0,The final chapter of Digimon. Dubbing is free.
41.0,"Detroit Beacom Human 50%, the lowest price ever."
42.0,Lala Croft and Osiris Temple/Guardian of Light
43.0,Last of Us 2 Collections Edition.
44.0,Last of Us 2 Collections Edition.
45.0,Last of Us 2 Collections Edition.
46.0,Last of Us 2 Collections Edition.
47.0,Red Dead Redemption 2.
48.0,Little Nightmare.
49.0,Ring Fit Adventure.
50.0,Mafia Trilogy.
51.0,Monster Hunter Rise + Animal Crossing Edition.
52.0,Civilization 6 Platinum 92% off.
53.0,"Binding of Isaac Reverse, 50% off afterverse."
54.0,Bandai Namco promotion sale.
55.0,Battleground.
56.0,Battleground XBOX ONE.
57.0,Battlefield 1 and 5 are free.
58.0,Bethesda game on sale / This Honorard
59.0,Cyberpunk 2077 game.
60.0,"No oxygen + Don't starve, together DLC included."
61.0,"Switching Fit. You can use discount coupons for other products, too."
62.0,Original price of Switch.
63.0,Star Wars Battlefront 2.
64.0,Starcraft remaster.
65.0,스팀키 Steve Jackson's Sorcery! - The Complete Collection
66.0,"It's free for 5 days. 8,000 won."
67.0,50% discount on The Sims 3.
68.0,Among Us.
69.0,Assassin Creed Odyssey's main episode + the lowest price ever for a season pass.
70.0,Xbox series S.
71.0,Discount for summer VR game.r. game.
72.0,Inwang Complete Edition.
73.0,Legend of Zelda. The breath of the wild.
74.0,Tekken 7.
75.0,Console game title clearance sale.
