index,번역
0.0,10점 만점에 3점: 시즌 2
1.0,3/12 PS5 5번째 사전 주문입니다.
2.0,33라운드
3.0,3DMARK
4.0,"7,62 하이 칼리브"
5.0,8비트보이
6.0,8bitdo v3 아케이드 스틱.
7.0,랜덤 게임 박스.
8.0,게임. T4 프로 게임 패드.
9.0,Game Pass Ultimate 1개월 구독. 새 구독자.
10.0,게임 패스 PC 1개월 구독.
11.0,Chisel Xbox XBOX SERIES X XBOX Wireless Controller 4세대.
12.0,닌텐도 게임 11종.
13.0,"닌텐도 라이트 유저 키트 케이스는 6,400원입니다. 미납 7."
14.0,닌텐도 링 핏 어드벤처.
15.0,닌텐도 링핏.
16.0,닌텐도 스위치 게임 썸머 세일.
17.0,닌텐도 스위치 네온 + 타이틀 1.
18.0,닌텐도 스위치 네온 레드/블루 + 애니멀 크로싱.
19.0,닌텐도 스위치 애니멀 크로스 에디션.
20.0,닌텐도 스위치 애니멀 크로스 에디션. 와~ 멤버.
21.0,닌텐도 스위치 애니멀 크로스 에디션.
22.0,닌텐도 스위칭 핏 게임 세트 에디션 본체
23.0,닌텐도 스위치 마리오 레드 블루 + 스위치 마리오 3D 컬렉션 세트.
24.0,닌텐도 스위치 본체.
25.0,닌텐도 스위치 바디 네온.
26.0,닌텐도 스위치의 인기 있는 소프트 태그 1 옵션: 모여라. 동물의숲
27.0,닌텐도 스위치+소프트 태그 1.
28.0,닌텐도 스위치 링 핏 어드벤처.
29.0,닌텐도 스위치 링 핏 어드벤처 한국어 버전.
30.0,한국판 닌텐도 스위칭 핏 어드벤처.
31.0,닌텐도 스위치 하데스.
32.0,"듀얼 쇼크 4는 4,9800원입니다."
33.0,드래곤 퀘스트 XIS: 과거 찾기
34.0,드래곤볼 게임 시리즈.
35.0,드래곤볼 게임 최대 85% 할인.
36.0,드래곤볼 파이터.
37.0,드래곤볼 Z. 당근.
38.0,"드래곤볼 Z, 카카오 롯. 마지막 DLC 릴리스 할인입니다."
39.0,디아블로2 레저 사전예약.
40.0,디지몬의 마지막 장. 더빙은 무료입니다.
41.0,디트로이트 비컴 휴먼 50% 최저가
42.0,랄라 크로프트와 오시리스 사원/빛의 수호자
43.0,마지막 Us 2 Collection Edition입니다.
44.0,마지막 Us 2 Collection Edition입니다.
45.0,마지막 Us 2 Collection Edition입니다.
46.0,마지막 Us 2 Collection Edition입니다.
47.0,레드 데드 구제 2
48.0,작은 악몽.
49.0,링 핏 어드벤처.
50.0,마피아 3부작.
51.0,몬스터 헌터 라이즈 + 애니멀 크로싱 에디션.
52.0,문명 6 플래티넘 92% 할인.
53.0,아이작 리버스 50% 할인
54.0,반다이 남코 프로모션 세일.
55.0,배틀그라운드.
56.0,배틀그라운드 XBOX ONE.
57.0,전장 1과 5는 무료입니다.
58.0,베데스다 게임 세일 / This Honorard
59.0,사이버펑크 2077 게임.
60.0,산소 없음 + DLC 포함 굶지 마세요.
61.0,스위칭 핏. 다른 제품에도 할인 쿠폰을 사용할 수 있습니다.
62.0,스위치의 원래 가격입니다.
63.0,스타워즈 배틀프론트 2.
64.0,스타크래프트 리마스터.
65.0,스티브 잭슨의 마법! - 전집
66.0,5일 동안 무료입니다. 8천 원.
67.0,심즈 3 50% 할인.
68.0,우리 중에.
69.0,어쌔신 크리드 오디세이의 메인 에피소드 + 시즌권 최저가.
70.0,Xbox 시리즈 S.
71.0,여름 VR 게임 할인.
72.0,인왕 완결판.
73.0,젤다의 전설. 야생의 숨결.
74.0,철권 7호.
75.0,콘솔 게임 타이틀 정리 세일.
76.0,콜 오브 듀티: 블랙 옵스 냉전 40% 세일
77.0,Park Lie 5 + New Dawn.
78.0,가을 친구들.
79.0,가을 친구들.
80.0,프로스트펑크 무료 배포.
81.0,FIFA 21.
82.0,전염병 이야기: 순수함 / 미니트
83.0,절대 드리프트
84.0,아가사 크리스티 - ABC 살인 사건
85.0,ARMA: 냉전시대 공격
86.0,어쌔신 크리드 오디세이 - 어쌔신 크리드 오디세이
87.0,오토마체프
88.0,혈액 베타 키를 위한 4번 혈액 등입니다.
89.0,바나나 헬
90.0,배틀필드 1 아포칼립스 / 배틀필드 4 드래곤의 이빨
91.0,차르의 이름으로 전장 1
92.0,전장 1 터닝 조류 / 전장 4 해상 공격
93.0,전장 4차 공격 / 웹 향신료
94.0,"Strip / Ultima Underworld 1+2, Syndicate Plus, Syndicate Wars / Syndicate의 Blackjack"
95.0,블록 던전
96.0,브리지 생성자: 워킹 데드/아이언캐스트
97.0,고양이 방어
98.0,찹찹 공주님!
99.0,연대기 / JASEM / 무법지
100.0,COH2 / 컴퍼니 오브 히어로즈 2 - 아덴 어택
101.0,컴퍼니 오브 히어로즈 2 - 케이스 블루 미션 팩 / 토탈 워: 쓰리 킹덤즈 사운드트랙
102.0,통제
103.0,딥 데플레인 / 큐브 러너 / 백설공주
104.0,방어 그리드: 각성
105.0,디트로이트: 인간이 되자
106.0,다이 영: 프롤로그
107.0,낙서신
108.0,유로파 유니버설리스 4
109.0,파이널 판타지 7 ps 5 버전의 무료 업로드.
110.0,2021년 축구 감독
111.0,풋롤: 에픽 페일 리그
112.0,무료 게임 컬렉션
113.0,프로스트펑크
114.0,프로스트펑크
115.0,고스트 레콘 황무지 - 타락한 유령
116.0,하데스
117.0,헬포인트
118.0,Horizon Chase Turbo / Sonic Mania
119.0,Horizon Zero Dawn: Complete Edition 40% »
120.0,나는 꽃 / 미니언 마스터즈 + 모르다스 말레딕션 DLC를 좋아한다.
121.0,중간 랜드
122.0,Jagged Alliance 1: Gold Edition / Titan Quest Anniversary Edition
123.0,발길질 특공대
